Date,Symbol,Expiry,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in   ₹ Lakhs,Open Int,Change in OI,Underlying Value,DaysToExpiry
2025-12-15,NIFTY,2026-01-27,26238.4,26288.0,26155.0,26268.7,26265.0,26268.7,5558.0,94760.84,1420055.0,20280.0,26027.3,43
2025-12-16,NIFTY,2026-01-27,26211.0,26228.6,26099.0,26112.9,26099.0,26112.9,6078.0,103303.06,1501825.0,81770.0,25860.1,42
2025-12-17,NIFTY,2026-01-27,26125.0,26164.8,26026.0,26061.8,26071.0,26061.8,5083.0,86144.48,1585935.0,84110.0,25818.55,41
2025-12-18,NIFTY,2026-01-27,26019.1,26135.0,25975.1,26049.1,26045.0,26049.1,6025.0,102058.53,1644240.0,58305.0,25815.55,40
2025-12-19,NIFTY,2026-01-27,26120.0,26200.0,26103.5,26190.0,26195.0,26190.0,7626.0,129709.56,1721785.0,77545.0,25966.4,39
2025-12-22,NIFTY,2026-01-27,26289.8,26383.9,26262.1,26377.4,26382.0,26377.4,14374.0,246228.8,2054585.0,332800.0,26172.4,36
2025-12-23,NIFTY,2026-01-27,26382.9,26440.0,26343.0,26392.8,26387.0,26392.8,13809.0,236921.77,2453230.0,398645.0,26177.15,35
2025-12-24,NIFTY,2026-01-27,26399.0,26448.0,26337.5,26351.9,26345.0,26351.9,22454.0,385032.16,3225690.0,772460.0,26142.1,34
2025-12-26,NIFTY,2026-01-27,26330.0,26330.0,26213.0,26234.5,26236.0,26234.5,59051.0,1007368.32,5500625.0,2274935.0,26042.3,32
2025-12-29,NIFTY,2026-01-27,26231.0,26272.0,26101.0,26121.3,26119.0,26121.3,95106.0,1617025.91,9451585.0,3950960.0,25942.1,29
2025-12-30,NIFTY,2026-01-27,26098.0,26144.4,26040.3,26118.8,26135.0,26118.8,110194.0,1868804.8,13958490.0,4506905.0,25938.85,28
2025-12-31,NIFTY,2026-01-27,26145.0,26325.0,26130.2,26296.3,26304.8,26296.3,72942.0,1243966.91,14026480.0,67990.0,26129.6,27
2026-01-01,NIFTY,2026-01-27,26332.0,26339.6,26261.0,26290.4,26291.0,26290.4,31319.0,535383.45,14003665.0,-22815.0,26146.55,26
2026-01-02,NIFTY,2026-01-27,26306.0,26480.0,26306.0,26455.4,26478.3,26455.4,64091.0,1100289.95,13702000.0,-301665.0,26328.55,25
2026-01-05,NIFTY,2026-01-27,26500.0,26510.0,26308.5,26331.3,26329.0,26331.3,79485.0,1363871.06,13845715.0,143715.0,26250.3,22
2026-01-06,NIFTY,2026-01-27,26354.0,26399.0,26255.0,26285.1,26281.9,26285.1,66623.0,1139490.88,14064115.0,218400.0,26178.7,21
2026-01-07,NIFTY,2026-01-27,26234.9,26298.0,26186.0,26235.3,26237.9,26235.3,54920.0,936498.06,14074125.0,10010.0,26140.75,20
2026-01-08,NIFTY,2026-01-27,26190.0,26210.0,25965.0,25985.6,25965.0,25985.6,106366.0,1802312.3,16262220.0,2188095.0,25876.85,19
2026-01-09,NIFTY,2026-01-27,25966.0,26031.6,25725.0,25788.3,25810.8,25788.3,89699.0,1507538.52,16876470.0,614250.0,25683.3,18
2026-01-12,NIFTY,2026-01-27,25770.0,25899.0,25573.2,25876.0,25880.0,25876.0,121833.0,2038827.8,16816150.0,-58013.0,25790.25,15
2026-01-13,NIFTY,2026-01-27,25911.0,25934.8,25661.1,25790.8,25780.4,25790.8,87482.0,1466541.07,17029220.0,213070.0,25732.3,14
2026-01-14,NIFTY,2026-01-27,25750.1,25850.0,25670.0,25719.0,25728.0,25719.0,70661.0,1182853.41,17014660.0,-14560.0,25665.6,13
