Index Name,Date,Open_spot,High_spot,Low_spot,Close_spot,Symbol,Expiry,Open_fut,High_fut,Low_fut,Close_fut,LTP_x,Settle Price,No. of contracts,Turnover * in   ₹ Lakhs,Open Int,Change in OI,Underlying Value,DaysToExpiry,TradeDate,STRIKE,LTP_y,IV,VOLUME,OI,CHNG IN OI,OptionType,ATM,EMA_5,EMA_15,Spot_Return,Futures_Return,Futures_Basis,Delta,Gamma,Theta,Vega,Rho,PCR_OI,PCR_VOLUME,Gamma_Exposure,Call_IV,Put_IV,Average_IV,IV_Spread,Call_Delta,Put_Delta,Delta_Neutral_Ratio
NIFTY 50,2025-01-14,23165.9,23264.95,23134.15,23176.05,,,,,,,,,,,,,,,2025-01-14,,,,,,,,,23176.05,23176.05,,,,,,,,,,,,,,,,,,
NIFTY 50,2025-01-15,23250.45,23293.65,23146.45,23213.2,,,,,,,,,,,,,,,2025-01-15,,,,,,,,,23188.433333333334,23180.693750000002,0.0016016645210618786,,,,,,,,,,,,,,,,,
NIFTY 50,2025-01-16,23377.25,23391.65,23272.05,23311.8,,,,,,,,,,,,,,,2025-01-16,,,,,,,,,23229.55555555556,23197.08203125,0.004238587753573933,,,,,,,,,,,,,,,,,
NIFTY 50,2025-01-17,23277.1,23292.1,23100.35,23203.2,,,,,,,,,,,,,,,2025-01-17,,,,,,,,,23220.770370370374,23197.84677734375,-0.004669469948432585,,,,,,,,,,,,,,,,,
NIFTY 50,2025-01-20,23290.4,23391.1,23170.65,23344.75,,,,,,,,,,,,,,,2025-01-20,,,,,,,,,23262.09691358025,23216.209680175783,0.006081919239174112,,,,,,,,,,,,,,,,,
NIFTY 50,2025-01-21,23421.65,23426.3,22976.85,23024.65,,,,,,,,,,,,,,,2025-01-21,,,,,,,,,23182.947942386836,23192.26472015381,-0.013806738277095545,,,,,,,,,,,,,,,,,
NIFTY 50,2025-01-22,23099.15,23169.55,22981.3,23155.35,,,,,,,,,,,,,,,2025-01-22,,,,,,,,,23173.74862825789,23187.650380134583,0.005660474187066116,,,,,,,,,,,,,,,,,
NIFTY 50,2025-01-23,23128.3,23270.8,23090.65,23205.35,,,,,,,,,,,,,,,2025-01-23,,,,,,,,,23184.282418838593,23189.86283261776,0.0021570001913706685,,,,,,,,,,,,,,,,,
NIFTY 50,2025-01-24,23183.9,23347.3,23050.0,23092.2,,,,,,,,,,,,,,,2025-01-24,,,,,,,,,23153.588279225733,23177.65497854054,-0.004887957366329596,,,,,,,,,,,,,,,,,
NIFTY 50,2025-01-27,22940.15,23007.45,22786.9,22829.15,,,,,,,,,,,,,,,2025-01-27,,,,,,,,,23045.44218615049,23134.09185622297,-0.011456670033394137,,,,,,,,,,,,,,,,,
NIFTY 50,2025-01-28,22960.45,23137.95,22857.65,22957.25,,,,,,,,,,,,,,,2025-01-28,,,,,,,,,23016.044790766995,23111.9866241951,0.0055955626228530505,,,,,,,,,,,,,,,,,
NIFTY 50,2025-01-29,23026.75,23183.35,22976.5,23163.1,,,,,,,,,,,,,,,2025-01-29,,,,,,,,,23065.063193844664,23118.375796170712,0.008926704456753254,,,,,,,,,,,,,,,,,
NIFTY 50,2025-01-30,23169.5,23322.05,23139.2,23249.5,,,,,,,,,,,,,,,2025-01-30,,,,,,,,,23126.542129229776,23134.766321649375,0.0037231312102430775,,,,,,,,,,,,,,,,,
NIFTY 50,2025-01-31,23296.75,23546.8,23277.4,23508.4,,,,,,,,,,,,,,,2025-01-31,,,,,,,,,23253.828086153186,23181.470531443203,0.011074177663955638,,,,,,,,,,,,,,,,,
NIFTY 50,2025-02-01,23528.6,23632.45,23318.3,23482.15,,,,,,,,,,,,,,,2025-02-01,,,,,,,,,23329.93539076879,23219.055465012803,-0.0011172460305538994,,,,,,,,,,,,,,,,,
NIFTY 50,2025-02-03,23319.35,23381.6,23222.0,23361.05,,,,,,,,,,,,,,,2025-02-03,,,,,,,,,23340.306927179197,23236.804781886203,-0.005170452479175173,,,,,,,,,,,,,,,,,
NIFTY 50,2025-02-04,23509.9,23762.75,23423.15,23739.25,,,,,,,,,,,,,,,2025-02-04,,,,,,,,,23473.2879514528,23299.61043415043,0.016059690853104273,,,,,,,,,,,,,,,,,
NIFTY 50,2025-02-05,23801.75,23807.3,23680.45,23696.3,,,,,,,,,,,,,,,2025-02-05,,,,,,,,,23547.625300968535,23349.196629881622,-0.0018108786231885072,,,,,,,,,,,,,,,,,
NIFTY 50,2025-02-06,23761.95,23773.55,23556.25,23603.35,,,,,,,,,,,,,,,2025-02-06,,,,,,,,,23566.20020064569,23380.96580114642,-0.003930266699640655,,,,,,,,,,,,,,,,,
NIFTY 50,2025-02-07,23649.5,23694.5,23443.2,23559.95,,,,,,,,,,,,,,,2025-02-07,,,,,,,,,23564.11680043046,23403.33882600312,-0.0018404145702315485,,,,,,,,,,,,,,,,,
