Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,14-Jan-2026,27-Jan-2026,25750.10,25850.00,25670.00,25719.00,25728.00,25719.00,70661.00,1182853.41,17014660.00,-14560.00,25665.60
NIFTY,13-Jan-2026,27-Jan-2026,25911.00,25934.80,25661.10,25790.80,25780.40,25790.80,87482.00,1466541.07,17029220.00,213070.00,25732.30
NIFTY,12-Jan-2026,27-Jan-2026,25770.00,25899.00,25573.20,25876.00,25880.00,25876.00,121833.00,2038827.80,16816150.00,-58013.00,25790.25
NIFTY,09-Jan-2026,27-Jan-2026,25966.00,26031.60,25725.00,25788.30,25810.80,25788.30,89699.00,1507538.52,16876470.00,614250.00,25683.30
NIFTY,08-Jan-2026,27-Jan-2026,26190.00,26210.00,25965.00,25985.60,25965.00,25985.60,106366.00,1802312.30,16262220.00,2188095.00,25876.85
NIFTY,07-Jan-2026,27-Jan-2026,26234.90,26298.00,26186.00,26235.30,26237.90,26235.30,54920.00,936498.06,14074125.00,10010.00,26140.75
NIFTY,06-Jan-2026,27-Jan-2026,26354.00,26399.00,26255.00,26285.10,26281.90,26285.10,66623.00,1139490.88,14064115.00,218400.00,26178.70
NIFTY,05-Jan-2026,27-Jan-2026,26500.00,26510.00,26308.50,26331.30,26329.00,26331.30,79485.00,1363871.06,13845715.00,143715.00,26250.30
NIFTY,02-Jan-2026,27-Jan-2026,26306.00,26480.00,26306.00,26455.40,26478.30,26455.40,64091.00,1100289.95,13702000.00,-301665.00,26328.55
NIFTY,01-Jan-2026,27-Jan-2026,26332.00,26339.60,26261.00,26290.40,26291.00,26290.40,31319.00,535383.45,14003665.00,-22815.00,26146.55
NIFTY,31-Dec-2025,27-Jan-2026,26145.00,26325.00,26130.20,26296.30,26304.80,26296.30,72942.00,1243966.91,14026480.00,67990.00,26129.60
NIFTY,30-Dec-2025,27-Jan-2026,26098.00,26144.40,26040.30,26118.80,26135.00,26118.80,110194.00,1868804.80,13958490.00,4506905.00,25938.85
NIFTY,29-Dec-2025,27-Jan-2026,26231.00,26272.00,26101.00,26121.30,26119.00,26121.30,95106.00,1617025.91,9451585.00,3950960.00,25942.10
NIFTY,26-Dec-2025,27-Jan-2026,26330.00,26330.00,26213.00,26234.50,26236.00,26234.50,59051.00,1007368.32,5500625.00,2274935.00,26042.30
NIFTY,24-Dec-2025,27-Jan-2026,26399.00,26448.00,26337.50,26351.90,26345.00,26351.90,22454.00,385032.16,3225690.00,772460.00,26142.10
NIFTY,23-Dec-2025,27-Jan-2026,26382.90,26440.00,26343.00,26392.80,26387.00,26392.80,13809.00,236921.77,2453230.00,398645.00,26177.15
NIFTY,22-Dec-2025,27-Jan-2026,26289.80,26383.90,26262.10,26377.40,26382.00,26377.40,14374.00,246228.80,2054585.00,332800.00,26172.40
NIFTY,19-Dec-2025,27-Jan-2026,26120.00,26200.00,26103.50,26190.00,26195.00,26190.00,7626.00,129709.56,1721785.00,77545.00,25966.40
NIFTY,18-Dec-2025,27-Jan-2026,26019.10,26135.00,25975.10,26049.10,26045.00,26049.10,6025.00,102058.53,1644240.00,58305.00,25815.55
NIFTY,17-Dec-2025,27-Jan-2026,26125.00,26164.80,26026.00,26061.80,26071.00,26061.80,5083.00,86144.48,1585935.00,84110.00,25818.55
NIFTY,16-Dec-2025,27-Jan-2026,26211.00,26228.60,26099.00,26112.90,26099.00,26112.90,6078.00,103303.06,1501825.00,81770.00,25860.10
NIFTY,15-Dec-2025,27-Jan-2026,26238.40,26288.00,26155.00,26268.70,26265.00,26268.70,5558.00,94760.84,1420055.00,20280.00,26027.30
